time,frequency,confidence
0.000,268.755,0.665507
0.010,269.485,0.881221
0.020,269.876,0.868264
0.030,269.847,0.818591
0.040,269.735,0.888709
0.050,270.784,0.774152
0.060,269.184,0.896825
0.070,270.201,0.858507
0.080,270.016,0.890783
0.090,269.983,0.874117
0.100,269.911,0.876531
0.110,270.020,0.867328
0.120,269.974,0.880507
0.130,270.696,0.872208
0.140,269.537,0.909191
0.150,269.916,0.892291
0.160,269.069,0.894355
0.170,269.731,0.898599
0.180,270.738,0.837557
0.190,270.097,0.883250
0.200,270.310,0.871069
0.210,269.706,0.880377
0.220,270.386,0.849206
0.230,269.698,0.910786
0.240,270.026,0.812178
0.250,269.411,0.854193
0.260,270.607,0.796000
0.270,269.918,0.899203
0.280,270.349,0.871256
0.290,269.294,0.888863
0.300,269.904,0.848327
0.310,269.562,0.895302
0.320,270.135,0.888145
0.330,269.822,0.848417
0.340,269.423,0.822312
0.350,269.772,0.864542
0.360,269.288,0.916602
0.370,269.934,0.881493
0.380,269.706,0.852360
0.390,269.510,0.835994
0.400,269.835,0.893889
0.410,269.949,0.886240
0.420,269.636,0.826707
0.430,269.797,0.759609
0.440,269.419,0.899091
0.450,269.508,0.874994
0.460,269.624,0.832327
0.470,270.351,0.639296
0.480,270.118,0.785577
0.490,269.935,0.812554
0.500,269.274,0.825388
0.510,269.503,0.413047
0.520,268.429,0.685461
0.530,269.310,0.730795
0.540,269.243,0.862031
0.550,268.730,0.434394
0.560,270.269,0.489539
0.570,269.903,0.569377
0.580,269.198,0.756959
0.590,269.823,0.461375
0.600,270.922,0.181845
0.610,271.195,0.258064
0.620,270.592,0.375089
0.630,269.454,0.614809
0.640,337.025,0.575768
0.650,336.437,0.457812
0.660,337.280,0.485382
0.670,333.552,0.503308
0.680,334.918,0.652306
0.690,339.734,0.309056
0.700,336.946,0.570430
0.710,336.262,0.591635
0.720,335.091,0.462716
0.730,339.678,0.764988
0.740,336.707,0.673579
0.750,337.247,0.719106
0.760,334.882,0.367563
0.770,339.152,0.685411
0.780,339.873,0.624824
0.790,338.577,0.661814
0.800,337.131,0.599108
0.810,337.321,0.764931
0.820,341.360,0.810766
0.830,338.105,0.713965
0.840,338.093,0.846043
0.850,336.765,0.765269
0.860,338.958,0.894345
0.870,339.059,0.809499
0.880,337.987,0.844801
0.890,337.927,0.771744
0.900,337.851,0.865560
0.910,339.556,0.866019
0.920,337.154,0.830169
0.930,338.618,0.876883
0.940,337.239,0.791311
0.950,339.042,0.917114
0.960,338.544,0.906054
0.970,337.903,0.910237
0.980,337.708,0.862948
0.990,337.496,0.908365
1.000,338.636,0.938681
1.010,337.038,0.881269
1.020,338.161,0.927714
1.030,336.865,0.877280
1.040,339.872,0.922231
1.050,337.624,0.887020
1.060,338.204,0.937023
1.070,337.027,0.871097
1.080,338.495,0.925161
1.090,338.308,0.931466
1.100,338.133,0.915860
1.110,337.998,0.922259
1.120,337.960,0.893493
1.130,338.901,0.931227
1.140,336.983,0.875207
1.150,339.064,0.912164
1.160,337.167,0.816085
1.170,340.357,0.897164
1.180,338.361,0.917075
1.190,338.469,0.921144
1.200,338.026,0.870427
1.210,339.103,0.897250
1.220,339.334,0.915994
1.230,338.572,0.877066
1.240,338.778,0.898878
1.250,338.241,0.868872
1.260,340.640,0.900250
1.270,339.833,0.848751
1.280,338.829,0.872393
1.290,338.507,0.835545
